CustomerKey,FirstName,LastName,Full Name,Gender,DateFirstPurchase
11000,Jon,Yang,Jon Yang,Male,2018-01-19
11001,Eugene,Huang,Eugene Huang,Male,2018-01-15
11002,Ruben,Torres,Ruben Torres,Male,2018-01-07
11003,Christy,Zhu,Christy Zhu,Female,2017-12-29
11004,Elizabeth,Johnson,Elizabeth Johnson,Female,2018-01-23
11005,Julio,Ruiz,Julio Ruiz,Male,2017-12-30
11006,Janet,Alvarez,Janet Alvarez,Female,2018-01-24
11007,Marco,Mehta,Marco Mehta,Male,2018-01-09
11008,Rob,Verhoff,Rob Verhoff,Female,2018-01-25
11009,Shannon,Carlson,Shannon Carlson,Male,2018-01-27
11010,Jacquelyn,Suarez,Jacquelyn Suarez,Female,2018-01-14
11011,Curtis,Lu,Curtis Lu,Male,2017-12-30
11012,Lauren,Walker,Lauren Walker,Female,2020-03-16
11013,Ian,Jenkins,Ian Jenkins,Male,2020-04-13
11014,Sydney,Bennett,Sydney Bennett,Female,2020-03-23
11015,Chloe,Young,Chloe Young,Female,2020-01-18
11016,Wyatt,Hill,Wyatt Hill,Male,2020-02-09
11017,Shannon,Wang,Shannon Wang,Female,2018-01-12
11018,Clarence,Rai,Clarence Rai,Male,2018-01-17
11019,Luke,Lal,Luke Lal,Male,2020-02-12
11020,Jordan,King,Jordan King,Male,2019-12-29
11021,Destiny,Wilson,Destiny Wilson,Female,2020-01-23
11022,Ethan,Zhang,Ethan Zhang,Male,2020-01-20
11023,Seth,Edwards,Seth Edwards,Male,2020-02-17
11024,Russell,Xie,Russell Xie,Male,2020-06-27
11025,Alejandro,Beck,Alejandro Beck,Male,2018-01-06
11026,Harold,Sai,Harold Sai,Male,2018-01-23
11027,Jessie,Zhao,Jessie Zhao,Male,2018-01-16
11028,Jill,Jimenez,Jill Jimenez,Female,2018-01-26
11029,Jimmy,Moreno,Jimmy Moreno,Male,2018-01-19
11030,Bethany,Yuan,Bethany Yuan,Female,2018-02-05
11031,Theresa,Ramos,Theresa Ramos,Female,2018-02-01
11032,Denise,Stone,Denise Stone,Female,2018-02-18
11033,Jaime,Nath,Jaime Nath,Male,2018-02-15
11034,Ebony,Gonzalez,Ebony Gonzalez,Female,2018-02-01
11035,Wendy,Dominguez,Wendy Dominguez,Female,2018-02-06
11036,Jennifer,Russell,Jennifer Russell,Female,2020-01-22
11037,Chloe,Garcia,Chloe Garcia,Female,2020-01-20
11038,Diana,Hernandez,Diana Hernandez,Female,2018-02-07
11039,Marc,Martin,Marc Martin,Male,2018-02-07
11040,Jesse,Murphy,Jesse Murphy,Male,2020-04-03
11041,Amanda,Carter,Amanda Carter,Female,2020-01-14
11042,Megan,Sanchez,Megan Sanchez,Female,2020-01-21
11043,Nathan,Simmons,Nathan Simmons,Male,2020-05-08
11044,Adam,Flores,Adam Flores,Male,2018-02-28
11045,Leonard,Nara,Leonard Nara,Male,2020-04-10
11046,Christine,Yuan,Christine Yuan,Female,2018-02-06
11047,Jaclyn,Lu,Jaclyn Lu,Female,2018-02-03
11048,Jeremy,Powell,Jeremy Powell,Male,2018-02-10
11049,Carol,Rai,Carol Rai,Female,2020-03-09
11050,Alan,Zheng,Alan Zheng,Male,2018-02-20
11051,Daniel,Johnson,Daniel Johnson,Male,2020-12-29
11052,Heidi,Lopez,Heidi Lopez,Female,2018-02-17
11053,Ana,Price,Ana Price,Female,2020-01-17
11054,Deanna,Munoz,Deanna Munoz,Female,2018-02-03
11055,Gilbert,Raje,Gilbert Raje,Male,2018-01-31
11056,Michele,Nath,Michele Nath,Female,2018-02-26
11057,Carl,Andersen,Carl Andersen,Male,2018-02-22
11058,Marc,Diaz,Marc Diaz,Male,2018-03-09
11059,Ashlee,Andersen,Ashlee Andersen,Female,2020-02-18
11060,Jon,Zhou,Jon Zhou,Male,2018-03-19
11061,Todd,Gao,Todd Gao,Male,2018-03-13
11062,Noah,Powell,Noah Powell,Male,2020-01-07
11063,Angela,Murphy,Angela Murphy,Female,2020-01-12
11064,Chase,Reed,Chase Reed,Male,2020-01-25
11065,Jessica,Henderson,Jessica Henderson,Female,2020-02-10
11066,Grace,Butler,Grace Butler,Female,2020-05-31
11067,Caleb,Carter,Caleb Carter,Male,2020-08-18
11068,Tiffany,Liang,Tiffany Liang,Female,2020-04-30
11069,Carolyn,Navarro,Carolyn Navarro,Female,2018-04-17
11070,Willie,Raji,Willie Raji,Male,2018-04-28
11071,Linda,Serrano,Linda Serrano,Female,2020-03-01
11072,Casey,Luo,Casey Luo,Female,2018-03-31
11073,Amy,Ye,Amy Ye,Female,2020-03-23
11074,Levi,Arun,Levi Arun,Male,2020-03-23
11075,Felicia,Jimenez,Felicia Jimenez,Female,2018-04-28
11076,Blake,Anderson,Blake Anderson,Male,2018-04-21
11077,Leah,Ye,Leah Ye,Female,2018-04-15
11078,Gina,Martin,Gina Martin,Female,2020-02-15
11079,Donald,Gonzalez,Donald Gonzalez,Male,2020-03-15
11080,Damien,Chander,Damien Chander,Male,2018-04-10
11081,Savannah,Baker,Savannah Baker,Female,2020-02-12
11082,Angela,Butler,Angela Butler,Female,2020-01-22
11083,Alyssa,Cox,Alyssa Cox,Female,2020-01-06
11084,Lucas,Phillips,Lucas Phillips,Male,2020-01-04
11085,Emily,Johnson,Emily Johnson,Female,2020-12-06
11086,Ryan,Brown,Ryan Brown,Male,2020-07-02
11087,Tamara,Liang,Tamara Liang,Female,2020-02-25
11088,Hunter,Davis,Hunter Davis,Male,2020-01-13
11089,Abigail,Price,Abigail Price,Female,2019-12-29
11090,Trevor,Bryant,Trevor Bryant,Male,2018-08-07
11091,Dalton,Perez,Dalton Perez,Male,2020-01-29
11092,Cheryl,Diaz,Cheryl Diaz,Female,2018-04-08
11093,Aimee,He,Aimee He,Female,2018-04-07
11094,Cedric,Ma,Cedric Ma,Male,2020-04-07
11095,Chad,Kumar,Chad Kumar,Male,2018-04-01
11096,Andrés,Anand,Andrés Anand,Male,2018-04-11
11097,Edwin,Nara,Edwin Nara,Male,2018-04-04
11098,Mallory,Rubio,Mallory Rubio,Female,2020-02-11
11099,Adam,Ross,Adam Ross,Male,2018-04-07
11100,Latasha,Navarro,Latasha Navarro,Female,2018-04-16
11101,Abby,Sai,Abby Sai,Female,2018-04-29
11102,Julia,Nelson,Julia Nelson,Female,2020-07-16
11103,Cassie,Chande,Cassie Chande,Female,2018-04-15
11104,Edgar,Sara,Edgar Sara,Male,2018-05-04
11105,Candace,Fernandez,Candace Fernandez,Female,2018-05-14
11106,Jessie,Liu,Jessie Liu,Male,2018-05-18
11107,Bianca,Lin,Bianca Lin,Female,2018-05-01
11108,Kari,Alvarez,Kari Alvarez,Female,2018-05-03
11109,Ruben,Kapoor,Ruben Kapoor,Male,2018-05-10
11110,Curtis,Yang,Curtis Yang,Male,2018-05-01
11111,Meredith,Gutierrez,Meredith Gutierrez,Female,2018-05-20
11112,Crystal,Wang,Crystal Wang,Female,2018-05-25
11113,Micheal,Blanco,Micheal Blanco,Male,2020-02-01
11114,Leslie,Moreno,Leslie Moreno,Female,2020-03-18
11115,Alvin,Cai,Alvin Cai,Male,2020-02-10
11116,Clinton,Carlson,Clinton Carlson,Male,2020-03-15
11117,April,Deng,April Deng,Female,2018-05-06
11118,Alvin,Zeng,Alvin Zeng,Male,2020-07-10
11119,Evan,James,Evan James,Male,2020-02-03
11120,Beth,Jiménez,Beth Jiménez,Female,2018-05-14
11121,Orlando,Suarez,Orlando Suarez,Male,2020-06-24
11122,Byron,Vazquez,Byron Vazquez,Male,2020-02-21
11123,Philip,Alvarez,Philip Alvarez,Male,2020-04-17
11124,Ross,Jordan,Ross Jordan,Male,2018-05-05
11125,Dana,Navarro,Dana Navarro,Female,2020-01-31
11126,Shaun,Carson,Shaun Carson,Male,2018-05-28
11127,Jan,Edwards,Jan Edwards,Female,2020-04-10
11128,Samantha,Long,Samantha Long,Female,2020-06-19
11129,Julia,Wright,Julia Wright,Female,2018-08-06
11130,Caroline,Russell,Caroline Russell,Female,2020-12-09
11131,Amanda,Rivera,Amanda Rivera,Female,2020-10-18
11132,Melissa,Richardson,Melissa Richardson,Female,2020-04-09
11133,Angela,Griffin,Angela Griffin,Female,2020-12-30
11134,Larry,Townsend,Larry Townsend,Male,2018-05-03
11135,Marcus,Harris,Marcus Harris,Male,2020-04-18
11136,Brianna,Morgan,Brianna Morgan,Female,2020-01-03
11137,Jasmine,Taylor,Jasmine Taylor,Female,2020-07-31
11138,Lauren,Davis,Lauren Davis,Female,2020-09-19
11139,Tanya,Moreno,Tanya Moreno,Female,2020-09-14
11140,Javier,Alvarez,Javier Alvarez,Male,2020-03-19
11141,Nicole,Ramirez,Nicole Ramirez,Female,2020-05-16
11142,Eduardo,Patterson,Eduardo Patterson,Male,2020-02-13
11143,Jonathan,Henderson,Jonathan Henderson,Male,2020-06-15
11144,Edward,Hernandez,Edward Hernandez,Male,2020-01-25
11145,Jasmine,Coleman,Jasmine Coleman,Female,2020-01-25
11146,Karla,Goel,Karla Goel,Female,2020-02-05
11147,Ernest,Wu,Ernest Wu,Male,2018-05-13
11148,Ross,Vazquez,Ross Vazquez,Male,2020-03-07
11149,Theodore,Gill,Theodore Gill,Male,2020-06-04
11150,Russell,Shen,Russell Shen,Male,2020-03-27
11151,Melinda,Gill,Melinda Gill,Female,2018-05-15
11152,James,Williams,James Williams,Male,2020-01-09
11153,Angela,James,Angela James,Female,2020-03-29
11154,Megan,Walker,Megan Walker,Female,2020-01-10
11155,Hunter,Robinson,Hunter Robinson,Male,2020-01-06
11156,Maria,Roberts,Maria Roberts,Female,2020-01-08
11157,Hannah,Long,Hannah Long,Female,2020-07-24
11158,Jason,Wright,Jason Wright,Male,2020-01-19
11159,Brianna,Hughes,Brianna Hughes,Female,2020-09-08
11160,Maurice,Tang,Maurice Tang,Male,2020-02-21
11161,Emily,Wood,Emily Wood,Female,2020-06-01
11162,Chase,Cox,Chase Cox,Male,2020-02-18
11163,Gabriel,Wang,Gabriel Wang,Male,2020-05-01
11164,Devin,Brooks,Devin Brooks,Male,2020-04-27
11165,Jocelyn,Alexander,Jocelyn Alexander,Female,2020-05-25
11166,Ashley,Martinez,Ashley Martinez,Female,2020-10-14
11167,Jasmine,Barnes,Jasmine Barnes,Female,2020-01-07
11168,David,Rodriguez,David Rodriguez,Male,2020-01-15
11169,Bryce,Richardson,Bryce Richardson,Male,2020-05-26
11170,Carol,Howard,Carol Howard,Female,2020-08-26
11171,Jonathan,Hill,Jonathan Hill,Male,2018-08-20
11172,Gabrielle,Adams,Gabrielle Adams,Female,2020-05-03
11173,Sarah,Thomas,Sarah Thomas,Female,2020-03-02
11174,Nicholas,Robinson,Nicholas Robinson,Male,2020-07-13
11175,Luis,Wang,Luis Wang,Male,2018-08-28
11176,Mason,Roberts,Mason Roberts,Male,2020-02-02
11177,Jose,Flores,Jose Flores,Male,2020-03-29
11178,Nathan,Johnson,Nathan Johnson,Male,2020-02-21
11179,Molly,Rodriguez,Molly Rodriguez,Female,2020-03-12
11180,April,Anand,April Anand,Female,2020-03-17
11181,Devin,Martin,Devin Martin,Male,2020-05-07
11182,Stephanie,Torres,Stephanie Torres,Female,2020-08-28
11183,Jasmine,Lee,Jasmine Lee,Female,2020-04-30
11184,Meghan,Hernandez,Meghan Hernandez,Female,2020-08-10
11185,Ashley,Henderson,Ashley Henderson,Female,2020-02-21
11186,Sarah,Price,Sarah Price,Female,2020-10-18
11187,Jennifer,Cooper,Jennifer Cooper,Female,2020-04-03
11188,Catherine,Morris,Catherine Morris,Female,2020-11-01
11189,Lawrence,Blanco,Lawrence Blanco,Male,2018-08-26
11190,Carson,Bryant,Carson Bryant,Male,2020-08-28
11191,Kristi,Perez,Kristi Perez,Female,2018-08-11
11192,James,Brown,James Brown,Male,2020-06-23
11193,Ian,Gray,Ian Gray,Male,2020-02-25
11194,Jacqueline,Price,Jacqueline Price,Female,2020-03-13
11195,Megan,Henderson,Megan Henderson,Female,2020-04-14
11196,Alfredo,Romero,Alfredo Romero,Male,2020-03-03
11197,Andrea,Morris,Andrea Morris,Female,2020-05-02
11198,Brooke,Sanders,Brooke Sanders,Female,2020-02-05
11199,Jacqueline,Bennett,Jacqueline Bennett,Female,2020-03-18
11200,Jason,Griffin,Jason Griffin,Male,2020-02-07
11201,Amanda,Foster,Amanda Foster,Female,2020-07-01
11202,Alexia,Price,Alexia Price,Female,2020-09-15
11203,Luis,Diaz,Luis Diaz,Male,2020-02-20
11204,Destiny,Rivera,Destiny Rivera,Female,2020-08-09
11205,Abby,Fernandez,Abby Fernandez,Female,2020-07-27
11206,Blake,Flores,Blake Flores,Male,2020-05-11
11207,Danielle,Cox,Danielle Cox,Female,2020-01-31
11208,Maria,Reed,Maria Reed,Female,2020-03-04
11209,Allison,Evans,Allison Evans,Female,2020-03-25
11210,Edward,Wood,Edward Wood,Male,2020-05-06
11211,Samantha,Russell,Samantha Russell,Female,2020-02-01
11212,Chloe,Campbell,Chloe Campbell,Female,2020-01-30
11213,Stephanie,Murphy,Stephanie Murphy,Female,2020-03-28
11214,Charles,Miller,Charles Miller,Male,2020-08-14
11215,Ana,Perry,Ana Perry,Female,2020-02-15
11216,Jasmine,Torres,Jasmine Torres,Female,2018-08-15
11217,Natalie,Adams,Natalie Adams,Female,2018-08-10
11218,Olivia,Brown,Olivia Brown,Female,2020-02-28
11219,Charles,Cook,Charles Cook,Male,2020-10-29
11220,Erica,Huang,Erica Huang,Female,2020-03-14
11221,Nathan,Perry,Nathan Perry,Male,2020-04-07
11222,Alexandra,Rivera,Alexandra Rivera,Female,2020-11-01
11223,Hailey,Patterson,Hailey Patterson,Female,2020-01-29
11224,Tiffany,Li,Tiffany Li,Female,2018-08-07
11225,Madison,Lee,Madison Lee,Female,2020-06-22
11226,Sydney,Ross,Sydney Ross,Female,2020-02-21
11227,Marshall,Chavez,Marshall Chavez,Male,2018-08-03
11228,Ashley,Jones,Ashley Jones,Female,2020-10-25
11229,Adrian,Stewart,Adrian Stewart,Male,2020-07-27
11230,Amber,Turner,Amber Turner,Female,2020-07-16
11231,Dennis,Zhang,Dennis Zhang,Male,2020-02-10
11232,Hailey,Bryant,Hailey Bryant,Female,2020-09-20
11233,Todd,Li,Todd Li,Male,2020-02-08
11234,Anna,Griffin,Anna Griffin,Female,2020-02-08
11235,Angel,Stewart,Angel Stewart,Male,2020-07-04
11236,Jeremy,Butler,Jeremy Butler,Male,2020-10-03
11237,Clarence,Anand,Clarence Anand,Male,2018-09-05
11238,Mayra,Prasad,Mayra Prasad,Female,2018-01-06
11239,Latoya,Goel,Latoya Goel,Female,2018-01-19
11240,Anne,Hernandez,Anne Hernandez,Female,2018-02-27
11241,Lisa,Cai,Lisa Cai,Female,2019-09-10
11242,Larry,Munoz,Larry Munoz,Male,2019-09-19
11243,Robin,Alvarez,Robin Alvarez,Female,2018-02-21
11244,Alexis,Coleman,Alexis Coleman,Female,2018-02-12
11245,Ricky,Vazquez,Ricky Vazquez,Male,2018-09-26
11246,Latasha,Rubio,Latasha Rubio,Female,2018-10-03
11247,Claudia,Zhou,Claudia Zhou,Female,2018-02-18
11248,Tristan,Alexander,Tristan Alexander,Male,2020-07-14
11249,Cindy,Patel,Cindy Patel,Female,2018-10-09
11250,Shannon,Liu,Shannon Liu,Female,2018-03-17
11251,Xavier,Long,Xavier Long,Male,2020-10-18
11252,Nicholas,Thompson,Nicholas Thompson,Male,2018-08-14
11253,José,Hernandez,José Hernandez,Male,2020-03-01
11254,Johnathan,Vance,Johnathan Vance,Male,2020-11-23
11255,Colin,Lin,Colin Lin,Male,2020-02-23
11256,Katelyn,Hernandez,Katelyn Hernandez,Female,2020-04-15
11257,Jacqueline,Powell,Jacqueline Powell,Female,2018-08-24
11258,Xavier,Hill,Xavier Hill,Male,2020-05-21
11259,Victoria,Stewart,Victoria Stewart,Female,2018-09-04
11260,Katelyn,Kelly,Katelyn Kelly,Female,2020-02-05
11261,Stephanie,Collins,Stephanie Collins,Female,2018-09-27
11262,Jennifer,Simmons,Jennifer Simmons,Female,2020-02-27
11263,Trinity,Richardson,Trinity Richardson,Female,2018-08-29
11264,Eduardo,Martin,Eduardo Martin,Male,2020-01-02
11265,Elizabeth,Jones,Elizabeth Jones,Female,2020-01-03
11266,Taylor,Howard,Taylor Howard,Female,2018-09-10
11267,David,Diaz,David Diaz,Male,2018-09-17
11268,Katelyn,Carter,Katelyn Carter,Female,2020-05-29
11269,Ryan,Foster,Ryan Foster,Male,2020-08-22
11270,Robert,Lee,Robert Lee,Male,2018-09-10
11271,Danielle,Reed,Danielle Reed,Female,2018-09-27
11272,Lauren,Martinez,Lauren Martinez,Female,2018-09-19
11273,Nathan,Lal,Nathan Lal,Male,2020-05-14
11274,Kyle,Foster,Kyle Foster,Male,2018-08-29
11275,Jenny,Rai,Jenny Rai,Female,2018-08-30
11276,Nancy,Chapman,Nancy Chapman,Female,2020-01-29
11277,Charles,Jackson,Charles Jackson,Male,2020-02-02
11278,Jonathan,Phillips,Jonathan Phillips,Male,2018-09-16
11279,Amanda,Cook,Amanda Cook,Female,2020-03-03
11280,Robert,Collins,Robert Collins,Male,2020-07-01
11281,Megan,Barnes,Megan Barnes,Female,2018-09-13
11282,Christian,Thomas,Christian Thomas,Male,2018-08-31
11283,Arturo,Lal,Arturo Lal,Male,2020-05-29
11284,Theresa,Serrano,Theresa Serrano,Female,2020-02-06
11285,Jeremy,Anderson,Jeremy Anderson,Male,2020-07-27
11286,Hunter,Griffin,Hunter Griffin,Male,2018-09-21
11287,Henry,Garcia,Henry Garcia,Male,2020-01-29
11288,Cindy,Sanchez,Cindy Sanchez,Female,2020-03-05
11289,Maria,Carter,Maria Carter,Female,2018-09-08
11290,Katelyn,Sanchez,Katelyn Sanchez,Female,2018-09-20
11291,Jenna,Wright,Jenna Wright,Female,2018-09-04
11292,Seth,Phillips,Seth Phillips,Male,2018-09-15
11293,Luke,Long,Luke Long,Male,2020-02-24
11294,Dalton,Clark,Dalton Clark,Male,2020-09-25
11295,Taylor,Lewis,Taylor Lewis,Female,2018-09-25
11296,Haley,Richardson,Haley Richardson,Female,2018-09-01
11297,Noah,Coleman,Noah Coleman,Male,2018-09-26
11298,Jon,Luo,Jon Luo,Male,2018-09-12
11299,Orlando,Vazquez,Orlando Vazquez,Male,2018-09-26
11300,Fernando,Barnes,Fernando Barnes,Male,2020-01-31
11301,Cameron,Rodriguez,Cameron Rodriguez,Male,2020-06-09
11302,Spencer,Russell,Spencer Russell,Male,2018-09-06
11303,Julia,Coleman,Julia Coleman,Female,2018-09-02
11304,Julia,Garcia,Julia Garcia,Female,2020-03-20
